,name,salary,team,year,salary_Num
0,Al Horford,"$12,000,000",atlanta-hawks,2014,12000000
1,Paul Millsap,"$9,500,000",atlanta-hawks,2014,9500000
2,Jeff Teague,"$8,000,000",atlanta-hawks,2014,8000000
3,Kyle Korver,"$6,253,521",atlanta-hawks,2014,6253521
4,Thabo Sefolosha,"$4,000,000",atlanta-hawks,2014,4000000
5,Mike Scott,"$3,333,333",atlanta-hawks,2014,3333333
6,DeMarre Carroll,"$2,500,000",atlanta-hawks,2014,2500000
7,Shelvin Mack,"$2,433,333",atlanta-hawks,2014,2433333
8,Kent Bazemore,"$2,000,000",atlanta-hawks,2014,2000000
9,Elton Brand,"$2,000,000",atlanta-hawks,2014,2000000
10,Dennis Schroder,"$1,690,680",atlanta-hawks,2014,1690680
11,John Jenkins,"$1,312,920",atlanta-hawks,2014,1312920
12,Pero Antic,"$1,250,000",atlanta-hawks,2014,1250000
13,John Salmons,"$1,000,000",atlanta-hawks,2014,1000000
14,Mike Muscala,"$816,482",atlanta-hawks,2014,816482
15,Austin Daye,"$200,166",atlanta-hawks,2014,200166
16,Jarell Eddie,"$29,843",atlanta-hawks,2014,29843
17,Paul Millsap,"$18,671,659",atlanta-hawks,2015,18671659
18,Al Horford,"$12,000,000",atlanta-hawks,2015,12000000
19,Tiago Splitter,"$8,500,000",atlanta-hawks,2015,8500000
20,Jeff Teague,"$8,000,000",atlanta-hawks,2015,8000000
21,Kyle Korver,"$5,746,479",atlanta-hawks,2015,5746479
22,Thabo Sefolosha,"$4,000,000",atlanta-hawks,2015,4000000
23,Mike Scott,"$3,333,333",atlanta-hawks,2015,3333333
24,Kirk Hinrich,"$2,870,000",atlanta-hawks,2015,2870000
25,Kent Bazemore,"$2,000,000",atlanta-hawks,2015,2000000
26,Dennis Schroder,"$1,763,400",atlanta-hawks,2015,1763400
27,Tim Hardaway Jr.,"$1,304,520",atlanta-hawks,2015,1304520
28,Kris Humphries,"$1,000,000",atlanta-hawks,2015,1000000
29,Walter Tavares,"$1,000,000",atlanta-hawks,2015,1000000
30,Mike Muscala,"$947,276",atlanta-hawks,2015,947276
31,Lamar Patterson,"$525,093",atlanta-hawks,2015,525093
32,Dwight Howard,"$23,500,000",atlanta-hawks,2016,23500000
33,Paul Millsap,"$20,072,033",atlanta-hawks,2016,20072033
